CVE_ENT,delito,resolucion,ubicacion,productos_servicios,detalles_adicionales
9,OMISION EN EXCUSARSE," $112,258.20.", 2004.," $112,258.20.", ELEMENTOS PARA DETERMINAR PRESUNTAS RESPONSABILIDADES
9,PRESENTO LICENCIAS MEDICAS APOCRIFAS,PRESENTO LICENCIAS MEDICAS APOCRIFAS,PRESENTO LICENCIAS MEDICAS APOCRIFAS,PRESENTO LICENCIAS MEDICAS APOCRIFAS, LICENCIAS MEDICAS APOCRIFAS
9,OMITIO,OMITIO,OMITIO, PATRIMONIAL, DECLARACION DE SITUACION PATRIMONIAL
21," POR TENER CONDUCTAS CONTRARIAS A DERECHO,", DETRIMENTO AL PATRIMONIO DEL MUNICIPIO., PUEBLA, PATRIMONIO, ACCIONES Y OMISIONES SON ANTIJURDICAS
13,NO REALIZAR EN TIEMPO,NO REALIZAR EN TIEMPO, ESTADO DE HIDALGO., DECLARACIN PATRIMONIAL DE CONCLUSIN DE ENCARGO.,NO REALIZAR EN TIEMPO SU DECLARACIN PATRIMONIAL
9,OMITIR,OMITIR, 2015, LA DECLARACION DE SITUACION PATRIMONIAL, DECLARACION DE SITUACION PATRIMONIAL
26,"OMITI SUPERVISAR, VERIFICAR Y EVALUAR", VEINTISIS," DOS MIL SEIS,"," INMUEBLE (PAREDES Y TECHOS),", EXTINTORES Y SALIDAS DE EMERGENCIA
17,CAUSA VIOLACIN DE PROCEDIMIENTOS., 2.5 MILLONES DE PESOS, CUERNAVACA, 2.5 MILLONES DE PESOS,"
FIRMEZA:MEDIANTE OFICIO 1479/2019 DE 2 DE OCTUBRE DE 2019,"
23,INCUMPLIMIENTO,INCUMPLIMIENTO, ESTADO., PBLICOS DEL ESTADO., III Y XXII
1,NO HABER PRESENTADO LA DOCUMENTACIN, CAUS EJECUTORIA, ESTADO DE AGUASCALIENTES,NO HABER PRESENTADO LA DOCUMENTACIN,"
ARTCULO Y FRACCIONES VIOLENTADAS:"
30,Dato no proporcionado,Dato no proporcionado,Dato no proporcionado,Dato no proporcionado,Dato no proporcionado
21, OMITI, OMITI COMPROBAR, PUEBLA, OMITI COMPROBAR EL RECURSO, OMITI COMPROBAR EL RECURSO EJERCIDO
29,"
FIRMEZA:", INHABILITACIN POR EL TRMINO DE DOS AOS, TLAXCALA.," SERVIDORES PBLICOS,", INCUMPLIERON
23,"UD,", PORTACIN DE ARMA, 83., CANNABIS SATIVA I Y CLORHIDRATO DE COCANA, PORTACIN DE ARMA
30,DEPENDENCIA: SECRETARA DE EDUCACIN DE VERACRUZ, CONTRALORA GENERAL DEL ESTADO, CONTRALORA GENERAL DEL ESTADO, EN CONTRA DE LOS SERVIDORES PBLICOS, DAO PATRIMONIAL
24,"IRREGULARIDAD ADMINISTRATIVA,","IRREGULARIDAD ADMINISTRATIVA,", FALTA DE JUSTIFICACION, MEDICAMENTO DE ALTA ESPECIALIDAD., FALTA DE JUSTIFICACION DOCUMENTAL
9,PRESENTO LICENCIA MEDICA APOCRIFA.,PRESENTO LICENCIA MEDICA APOCRIFA.,PRESENTO LICENCIA MEDICA APOCRIFA.,PRESENTO LICENCIA MEDICA APOCRIFA.,PRESENTO LICENCIA MEDICA APOCRIFA.
9,PRESENTO LICENCIA MEDICA APOCRIFA,PRESENTO LICENCIA MEDICA APOCRIFA,PRESENTO LICENCIA MEDICA APOCRIFA,PRESENTO LICENCIA MEDICA APOCRIFA,PRESENTO LICENCIA MEDICA APOCRIFA
2, DE DRSELAS UN USO O DESTINO DIFERENTE, SANCIONADO., BAJA CALIFORNIA., INMUEBLE, ANTECEDENTES DE PROPIEDAD
1,OMITI,OMITI, ESTADO, SERVICIO., COMPROBACIN DE VITICOS
13,OMITI, INHABILITACIN," ESTADO DE HIDALGO,"," EMPLEO, CARGO O COMISIN EN EL SERVICIO PBLICO", TODOS LOS EFECTOS LEGALES A QUE HAYA LUGAR.
26," HIJOS DE MADRES TOXICMANAS,", SANCIN, ESTADO DE SONORA., MENORES ERAN VENDIDOS, OFICIOS
9,"EJERCIO INDEBIDAMENTE Y ABUSO DE SU CARGO,","EJERCIO INDEBIDAMENTE Y ABUSO DE SU CARGO,","EJERCIO INDEBIDAMENTE Y ABUSO DE SU CARGO,", LICENCIAS MEDICAS, LICENCIAS MEDICAS FUERA DE SU JORNADA LABORAL.
13, DOS MIL DIECISEIS;," UN SUBEJERCICIO POR $42,562.08", ESTADO DE HIDALGO, SUELDO, REGISTROS CONTABLES Y PRESUPUESTALES
9,PRESENTO LICENCIA MEDICA APOCRIFA,PRESENTO LICENCIA MEDICA APOCRIFA,PRESENTO LICENCIA MEDICA APOCRIFA,PRESENTO LICENCIA MEDICA APOCRIFA,PRESENTO LICENCIA MEDICA APOCRIFA
20, OCASIONANDO DAOS A LA HACIENDA PBLICA., OCASIONANDO DAOS A LA HACIENDA PBLICA., OAXACA., HACIENDA PBLICA., OCASIONANDO DAOS A LA HACIENDA PBLICA.
9, CONTRALORIA GENERAL DEL D.F, CONTRALORIA GENERAL DEL D.F, D.F, CONTRALORIA GENERAL DEL D.F, CONTRALORIA GENERAL DEL D.F
9,PRESENTO LICENCIA MEDICA APOCRIFA,PRESENTO LICENCIA MEDICA APOCRIFA,PRESENTO LICENCIA MEDICA APOCRIFA,PRESENTO LICENCIA MEDICA APOCRIFA,PRESENTO LICENCIA MEDICA APOCRIFA
9,OMITO INGRESAR A LAS ARCAS," $1633.00 PESOS,", ENTONCES LUZ Y FUERZA DEL CENTRO, SUMINISTRO DE ENERGIA ELECTRICA., LUZ Y FUERZA DEL CENTRO
9,"SUSTRAJO HIDROCARBURO DE UN DUCTO DE PEMEX,","SUSTRAJO HIDROCARBURO DE UN DUCTO DE PEMEX,","SUSTRAJO HIDROCARBURO DE UN DUCTO DE PEMEX,","SUSTRAJO HIDROCARBURO DE UN DUCTO DE PEMEX,","SUSTRAJO HIDROCARBURO DE UN DUCTO DE PEMEX,"
9,NO SE ABSTUVO,NO SE ABSTUVO," DENTRO DE LA OFICINA DE AUTODECLARACION,"," INTRODUCIR MERCANCIA DE PROCEDENCIA EXTRANJERA,"," BOLETA DE PAGO, RECIBO O COMPROBANTE DE PAGO"
13,NO REALIZAR EN TIEMPO SU DECLARACION,NO REALIZAR EN TIEMPO, ESTADO DE HIDALGO,"
DEPENDENCIA POLICIAL INDUSTRIAL BANCARIA",NO REALIZAR EN TIEMPO SU DECLARACION DE CONCLUSION
21," DELITO DE PECULADO,"," PECULADO,", PUEBLA.," PRODUCCIN Y COMERCIALIZACIN DE PLANTAS DE ORNATO,", NO SE EXHIBI DOCUMENTACIN
2, OMITIR SUPERVISAR EL DESEMPEO DE SUS SUBALTERNOS, ARTCULO Y FRACCIONES VIOLENTADAS:, BAJA CALIFORNIA., ACCIONES DE CAPACITACIN, ARTCULO Y FRACCIONES VIOLENTADAS:
9,CON," $8,331.00 M.N."," ESTADO,", ANTEOJOS Y APARATOS ORTOPDICOS, RECETAS MDICAS Y FACTURAS
9, AFECTACION PRESUPUESTAL, DAO PATRIMONIAL, OTROSEN," PRESTACIONES A LAS QUE NO TENIAN DERECHO,", CARATULAS Y LOS CALCULOS DE LIQUIDACIN
9,"NEPOTISMO IRREGULARIDAD ADMINISTRATIVA,","NEPOTISMO IRREGULARIDAD ADMINISTRATIVA,",NEPOTISMO,NEPOTISMO,"NEPOTISMO IRREGULARIDAD ADMINISTRATIVA,"
9,PARTICIP INDEBIDAMENTE, PARIENTE CONSANGUINEO EN PRIMER GRADO., PRIMER GRADO.,PARTICIP INDEBIDAMENTE EN LA CONTRATACIN,PARTICIP INDEBIDAMENTE EN LA CONTRATACIN
9, OMITI PRESENTAR LA DOCUMENTACIN COMPROBATORIA," $93.3 MILES,", LA DOCUMENTACIN SOPORTE, COMBUSTIBLE, ELABOR Y FIRM PLIZAS DE EGRESOS
9, UN FIN DISTINTO, CONTRAPRESTACIONES COMPROBABLES, EL ESTADO, UTILIZ LOS RECURSOS, CONTRAPRESTACIONES
9,"COBR 30 CHEQUES,"," $139,950.00"," $139,950.00"," CHEQUES,", DOCUMENTACIN SOPORTE
9,OMITIO, AUXILIAR DE SUCURSAL COMODIN.,OMITIO, LA DECLARACION DE SITUACION PATRIMONIAL, DECLARACION DE SITUACION PATRIMONIAL
30,CON ENGAOS, CIERTA CANTIDAD ECONOMICA, 2012, PETROLEOS MEXICANOS, NUMERO DE FICHAS Y PLAZAS
9,NO PRECISA LOS HECHOS,NO PRECISA LOS HECHOS,NO PRECISA LOS HECHOS,NO PRECISA LOS HECHOS,NO PRECISA LOS HECHOS
9, INDEBIDAMENTE PBLICO, INDEBIDAMENTE PBLICO," NAFINSA,"," UN MISMO ADEUDO,", MISMO CONCEPTO Y AL TENOR DEL MISMO IMPORTE.
9,OMITI, DECLARACIN DE SITUACIN PATRIMONIAL DE CONCLUSIN, 60 DIAS NATURALES, LA DECLARACIN DE SITUACIN PATRIMONIAL, DECLARACIN DE SITUACIN PATRIMONIAL DE CONCLUSIN
15, toreo," $1,500.00 (Mil quinientos pesos 00/100 M.N.),", dos mil nueve, restaurante Vips," tena aproximadamente dos aos de no cobrar su pensin,"
9,PRESENTO LICENCIA MEDICA CARENTE DE VALIDEZ.,PRESENTO LICENCIA MEDICA CARENTE DE VALIDEZ., CARENTE DE VALIDEZ.,PRESENTO LICENCIA MEDICA, LICENCIA MEDICA CARENTE DE VALIDEZ.
23,INCUMPLIMIENTO,INCUMPLIMIENTO, ESTADO., PBLICOS DEL ESTADO., I Y IV
22,NO CUMPLIR CON LA MXIMA DILIGENCIA,NO CUMPLIR CON LA MXIMA DILIGENCIA, ESTADO DE QUERTARO,NO CUMPLIR CON LA MXIMA DILIGENCIA EL SERVICIO,"
ARTCULOS Y FRACCIONES INFRINGIDAS:"
26, PAGOS EN EXCESO., PAGOS EN EXCESO., RGANO DE CONTROL Y EVALUACIN GUBERNAMENTAL,"
DESVI DE RECURSOS"," DUPLICIDAD DE PAGOS,"
9," FALTARON PAPELES DE TRABAJO,", MULTA," 2010,"," PAPELES DE TRABAJO,"," FALTARON PAPELES DE TRABAJO,"
9,PRESENTO LICENCIA MEDICA APOCRIFA,PRESENTO LICENCIA MEDICA APOCRIFA,PRESENTO LICENCIA MEDICA APOCRIFA,PRESENTO LICENCIA MEDICA APOCRIFA,PRESENTO LICENCIA MEDICA APOCRIFA
22, () INHABILITACIN Y ()., () INHABILITACIN Y ().," JALPAN DE SERRA,", () INHABILITACIN Y ().," () INHABILITACIN Y (). 

NOTIFICACIN:"
9,ENTREG," $7,240.00", PBLICO FEDERAL,ENTREG DIVERSOS CHEQUES,ENTREG DIVERSOS CHEQUES
9,PRETENDIO OBTENER BENEFICIO ADICIONALES, CONTRAPRESTACIONES, ESTADO, FALTAS DE ASISTENCIA, LICENCIAS MEDICAS
26,"DERIVADO DE UNA AUDITORA DE ISAF,"," $265,379.00", ESTADO DE SONORA, PAGOS EN EXCESO E IMPROCEDENTES, PAGOS EN EXCESO E IMPROCEDENTES
13,NO REALIZAR EN TIEMPO, INHABILITACIN," ESTADO DE HIDALGO,"," EMPLEO, CARGO O COMISIN EN EL SERVICIO PBLICO",NO REALIZAR EN TIEMPO SU DECLARACIN PATRIMONIAL
9," INSPECCIN FEDERAL,"," $108,000.00", DOS MIL ONCE.," LA CANTIDAD DE $108,000.00", DECLARACIN EN EL ACTA ADMINISTRATIVA DE HECHOS
9," ABUSO DEL CARGO,"," ABUSO DEL CARGO,", 2010," ABUSO DEL CARGO,"," ABUSO DEL CARGO,"
9,"EL 9 DE NOVIEMBRE DE 2010, SE DETERMIN"," $74,617.37","EL 9 DE NOVIEMBRE DE 2010,"," $74,617.37", REINTEGR AL ORGANISMO
14,OMISION,OMISION," H AYUNTAMIENTO DE TOTOTLAN, JALISCO", PATRIMONIAL Y DE INTERESES DE CONCLUSION DEL ENCARGO, SITUACION PATRIMONIAL Y DE INTERESES
9,OBTENER BENEFICIOS ADICIONALES,OBTENER BENEFICIOS ADICIONALES, EL ESTADO,OBTENER,OBTENER BENEFICIOS ADICIONALES
9,REALIZ COBROS POR LA PRESTACIN,REALIZ COBROS POR LA PRESTACIN, COMERCIAL.," ENERGA ELCTRICA,", SU REGISTRO EN EL SISTEMA COMERCIAL.
13,OMITI, INHABILITACIN," ESTADO DE HIDALGO,"," EMPLEO, CARGO O COMISIN EN EL SERVICIO PBLICO", TODOS LOS EFECTOS LEGALES A QUE HAYA LUGAR.
14,OMISION,OMISION EN LA PRESENTACION DE LA DECLARACION," H AYUNTAMIENTO DE TOTOTLAN, JALISCO", PATRIMONIAL Y DE INTERESES DE CONCLUSIN DEL ENCARGO,OMISION EN LA PRESENTACION DE LA DECLARACION
13,DEBI PRESENTAR,"
AUTORIDAD SANCIONADORA:", IXMIQUILPAN.," PATRIMONIAL Y DE INTERESES,"," SITUACIN PATRIMONIAL Y DE INTERESES,"
21,POR 11 IRREGULARIDADES QUE FUERON CONTEMPLADAS," $4,838,262.62", PUEBLA," $4,838,262.62", 11 IRREGULARIDADES
13,OMITIO,OMITIO PRESENTAR EN TIEMPO, ESTADO DE HIDALGO, DECLARACION PATRIMONIAL, DECLARACION PATRIMONIAL
9, VIOLACIONES," $1000,000.00"," $1000,000.00", UN DAO AL PATRIMONIO, VIOLACIONES
2," ADMINISTRATIVS,"," SANCIN DE DESTITUCIN,", NULIDAD," DESEMPEAR EMPLEOS, CARGOS O COMISIONES", EXISTA EVIDENCIA DE HABERSE REALIZADO.
9,NO SE EXCUSO DE INTERVENIR, CUANDO MENOS TRES PERSONAS," 2010,", RECEPCION DE LOS SERVICIOS," ELABORACION Y FIRMA DE SOLICITUDES DE PEDIDO,"
13, NO REALIZAR EN TIEMPO,"
FIRME:", ESTADO DE HIDALGO., DECLARACIN PATRIMONIAL DE CONCLUSIN DE ENCARGO., NO REALIZAR EN TIEMPO SU DECLARACIN PATRIMONIAL
9,PRESENTO LICENCIA MEDICA APOCRIFA,PRESENTO LICENCIA MEDICA APOCRIFA,PRESENTO LICENCIA MEDICA APOCRIFA,PRESENTO LICENCIA MEDICA APOCRIFA,PRESENTO LICENCIA MEDICA APOCRIFA
13,NO CUMPLI CON EL SERVICIO ENCOMENDADO,NO CUMPLI CON EL SERVICIO ENCOMENDADO, IXMIQUILPAN.,NO CUMPLI CON EL SERVICIO ENCOMENDADO, NO CONTABA CON LICENCIATURA O CARRERA A FIN
21,NO LOS PRECISAN.,NO LOS PRECISAN.,NO LOS PRECISAN.,NO LOS PRECISAN.,NO LOS PRECISAN.
13,OMITIO,OMITIO PRESENTAR EN TIEMPO, ESTADO DE HIDALGO, DECLARACION PATRIMONIAL, DECLARACION PATRIMONIAL
21,FUE EL BENEFICIADO, DIRECCIN DE SEGUIMIENTO A RESPONSABILIDADES., PUEBLA.,FUE EL BENEFICIADO DIRECTO, DOCUMENTACIN
13,OMITI, INHABILITACIN," ESTADO DE HIDALGO,"," EMPLEO, CARGO O COMISIN EN EL SERVICIO PBLICO", TODOS LOS EFECTOS LEGALES A QUE HAYA LUGAR.
9,DEFICIENTE E INOPORTUNA ATENCION MEDICA,DEFICIENTE E INOPORTUNA ATENCION MEDICA, OBSTETRICIA., ATENCION MEDICA,DEFICIENTE E INOPORTUNA ATENCION MEDICA
9," NOTORIAMENTE GRAVE,"," NOTORIAMENTE GRAVE,", MARINA SECA," SERVICIO PBLICO,", ACUERDOS DE VOLUNTADES
9," SE AUSENTO DE SUS LABORES SIN CAUSA JUSTIFICADA,"," $2,812.31"," NEZAHUALCOYOTL, ESTADO DE MEXICO,"," SE AUSENTO DE SUS LABORES SIN CAUSA JUSTIFICADA,"," SE AUSENTO DE SUS LABORES SIN CAUSA JUSTIFICADA,"
22,NO PRESENTO EN TIEMPO Y FORMA, ART. 49 FRACCIN IV., ESTADO DE QUERTARO, DECLARACIN DE SITUACIN PATRIMONIAL DE CONCLUSIN.,"
ARTCULO Y FRACCIONES INFRINGIDAS:"
13,INGRESAR DOS GALLOS EN DA Y HORA HBIL, INHABILITACIN," ESTADO DE HIDALGO,",INGRESAR DOS GALLOS, NO CUMPLIR CON SUS FUNCIONES.
9, HABER SOLICITADO CINCO MIL PESOS A UNA PERSONA, CINCO MIL PESOS, VEHCULO DE CARGA, VEHCULO DE CARGA, VEHCULO DE CARGA
9," M.N/98),"," $155,826.98"," SINALOA,"," $155,826.98", TRECE CHEQUES
17,nan,nan,nan,nan,nan
9,OBTUVO BENEFICIOS ADICIONALES, BENEFICIOS ADICIONALES, ESTADO, VITICOS QUE LE FUERON ENTREGADOS PARA TAL EFECTO., NO RINDI INFORME ALGUNO
17,Dato no proporcionado,Dato no proporcionado,Dato no proporcionado,Dato no proporcionado,Dato no proporcionado
9,PRESENTO LICENCIA MEDICA CARENTE DE VALIDEZ,PRESENTO LICENCIA MEDICA CARENTE DE VALIDEZ, CARENTE DE VALIDEZ,PRESENTO LICENCIA MEDICA CARENTE DE VALIDEZ, LICENCIA MEDICA CARENTE DE VALIDEZ
9, ABUSANDO DE SU CARGO,"
SPTIMO.", VERACRUZ, RECURSOS FINANCIEROS, CONTRAPRESTACIONES COMPROBABLES
9,"EL DA 01 DE MAYO DEL 2010,"," APOYO ADMINISTRATIVO EN SALUD A-2,"," 2010,", APOYO ADMINISTRATIVO EN SALUD," EXISTIENDO INTERS PERSONAL Y FAMILIAR,"
21,POR 13 IRREGULARIDADES QUE FUERON CONTEMPLADAS," $2,292,725.97", PUEBLA," $2,292,725.97", 13 IRREGULARIDADES
13,OMITI, INHABILITACIN," ESTADO DE HIDALGO,"," EMPLEO, CARGO O COMISIN EN EL SERVICIO PBLICO", TODOS LOS EFECTOS LEGALES A QUE HAYA LUGAR.
21, 75/100 M.N.).," $12677,858.75", PUEBLA.," $12677,858.75", 18 IRREGULARIDADES
20, DELITO DE VIOLACIN, INHABILITACIN D 3 AOS," OAXACA,", DESEMPEAR OTRO CARGO PBLICO., RENDIR INFORME PREVIO O CON JUSTIFICACIN
9,PRESENTO LICENCIA MEDICA CARENTE DE VALIDEZ,PRESENTO LICENCIA MEDICA CARENTE DE VALIDEZ, CARENTE DE VALIDEZ,PRESENTO LICENCIA MEDICA CARENTE DE VALIDEZ, LICENCIA MEDICA CARENTE DE VALIDEZ
9,INDEBIDAMENTE DESEMPE, EL EJERCICIO INDEBIDO DEL SERVICIO PBLICO;," VERACRUZ,", EJERCICIO INDEBIDO DEL SERVICIO PBLICO;," (FRACCIONES I,VIII Y XXIV, ARTCULO 8)"
30, APOLICIA AUXILIAR Y PROTECCIN PATRIMONIAL, CONTRALORA GENERAL DEL ESTADO DE VERACRUZ, VERACRUZ, PATRIMONIAL, DERIVADO DE LA AUDITORIA ESPECIFICA NMERO 1.3/10.1/17
14,NO FORMALIZAR LA ENTREGA RECEPCION,NO FORMALIZAR LA ENTREGA RECEPCION, JALISCO.,NO FORMALIZAR LA ENTREGA RECEPCION, EXISTENCIA DE FALTANTE CON CARGO A LA HACIENDA.
9," ABUS DEL CARGO QUE OSTENTABA,", $10.00," JALISCO,"," FIESTA,"," ABUS DEL CARGO QUE OSTENTABA,"
9, TOCABA LOS GENITALES.,"EJERCI INDEBIDAMENTE EL CARGO,",EJERCI, TOCABA LOS GENITALES., LES TOCABA LOS GENITALES.
14,OMISIN,OMISIN, JALISCO., ENCARGO., DECLARACIN DE SITUACIN PATRIMONIAL
21,NO ESPECIFICA,NO ESPECIFICA,NO ESPECIFICA,NO ESPECIFICA,NO ESPECIFICA
9, RESPONSABLE DE LA CAPTURA DE TIEMPO EXTRAORDINARIO," $20,473.50", CATORCENAS 9 A LA 18/2011, NMINA DE PEMEX EXPLORACIN Y PRODUCCIN, CATORCENAS 9 A LA 18/2011
26, GOLPEADO DE MANERA EXCESIVA, GOLPEADO DE MANERA EXCESIVA, SONORA.," CENTRO DE READAPTACIN SOCIAL HERMOSILLO I,", HABER GOLPEADO DE MANERA EXCESIVA
9, HABER OMITIDO ATENDER CON DOILIGENCIA, HABER OMITIDO ATENDER CON DOILIGENCIA," GUAYMAS,", EMBARCACION, HABER OMITIDO ATENDER CON DOILIGENCIA
28,GENERAR,GENERAR PASES DE VIGENCIA DE ALTA,GENERAR PASES DE VIGENCIA DE ALTA, LA PENSION,GENERAR PASES DE VIGENCIA DE ALTA
9,PRIVACION ILEGAL DE LA LIBERTAD Y DE OTRAS GARANTIAS,PRIVACION ILEGAL DE LA LIBERTAD Y DE OTRAS GARANTIAS,PRIVACION,PRIVACION ILEGAL DE LA LIBERTAD,PRIVACION ILEGAL DE LA LIBERTAD Y DE OTRAS GARANTIAS
16,"
FRACCIONES VIOLENTADAS:","
FRACCIONES VIOLENTADAS:", MICHOACN;,NO REALIZ EL ADECUADO PROCESO DE CONTRATACIN," PLANEACIN, PROGRAMACIN Y PRESUPUESTACIN"
13,NO CUMPLI CON EL SERVICIO ENCOMENDADO,NO CUMPLI CON EL SERVICIO ENCOMENDADO, IXMIQUILPAN.,NO CUMPLI CON EL SERVICIO ENCOMENDADO, LA FALTA ADMINISTRATIVA
13,OMITI, INHABILITACIN," ESTADO DE HIDALGO,"," EMPLEO, CARGO O COMISIN EN EL SERVICIO PBLICO", TODOS LOS EFECTOS LEGALES A QUE HAYA LUGAR.
9,"LA C. SUSANA GALLARDO ROBLEDO,"," (SIETE MIL PESOS 00/100 M.N.),"," MXICO,"," $7,000.00", OBTUVO BENEFICIOS ADICIONALES A LAS CONTRAPRESTACIONES
9,"INDEBIDAMENTE AUTORIZ,"," $3628,123.50","INDEBIDAMENTE AUTORIZ,", 3 SPOTS TELEVISIVOS DE 20 SEG.," NO FUERON AUTORIZADOS PARA SU TRANSMISIN,"
13,OMITI, INHABILITACIN," ESTADO DE HIDALGO,"," EMPLEO, CARGO O COMISIN EN EL SERVICIO PBLICO", TODOS LOS EFECTOS LEGALES A QUE HAYA LUGAR.
9,LES DE ESTA CIUDAD., INHABILITACIN DE UN AO CUATRO MESES, SE INICI SU EJECUCIN.," EMPLEO, CARGO O COMISIN","
DELITO ELECTORAL"
16,NO HABER REALIZADO UN ADECUADO CONTROL Y MANEJO, COMISIN DE LA FALTA ADMINISTRATIVA ATRIBUIDA;, ESTADO DE MICHOACN;, SALUD," ARTCULO 44, FRACCIONES I, II, XXI Y XXII"
9," APOCRIFOS,", PAGO INDEBIDO, 11/2013., PAGO INDEBIDO DE SALARIOS, EL PAGO INDEBIDO DE SALARIOS A UN TRABAJADOR
9,NO PRESENTO CON VERACIDAD, CAUSA LEGAL, DISTRITO FEDERAL., SERVICIO PUBLICO, DECLARACIONES DE MODIFICACION PATRIMONIAL 2008 Y 2009
9,SOLICITO DADIVAS," $41,340.00 Y $28,620.00", DIRECCION GENERAL ADJUNTA DE JUEGOS Y SORTEOS," PERMISOS PARA PELEAS DE GALLOS,", UN DOCUMENTO FALSO
13,DEBI PRESENTAR,"
AUTORIDAD SANCIONADORA:", IXMIQUILPAN.," PATRIMONIAL Y DE INTERESES,"," SITUACIN PATRIMONIAL Y DE INTERESES,"
22,NO PRESENTO EN TIEMPO Y FORMA, DIRECTOR DE SUBSTANCIACIN, QUERTARO, PATRIMONIAL DE CONCLUSIN., DECLARACIN DE SITUACIN PATRIMONIAL DE CONCLUSIN.
14,OMISION,OMISION EN LA PRESENTACION DE LA DECLARACION," H AYUNTAMIENTO DE TOTOTLAN, JALISCO", PATRIMONIAL Y DE INTERESES DE CONCLUSIN DEL ENCARGO,OMISION EN LA PRESENTACION DE LA DECLARACION
9,Dato no proporcionado,Dato no proporcionado,Dato no proporcionado,Dato no proporcionado,Dato no proporcionado
21,OMITI,OMITI, SECRETARA DE FINANZAS Y ADMINISTRACIN., ACTIVIDAD REGISTRAL ENCOMENDADA.,"
AUTORIDAD SANCIONADORA: DELEGADA DE LA CONTRALORA"
9, 2010., 2010.," TOLUCA, ESTADO DE MEXICO,", SERVICIOS, 2010.
9,REQUISITO, PROCAMPO DE PREDIOS,REQUISITO, PROCAMPO DE PREDIOS,REQUISITO SOLICITUDES DE APOYO
9," GOBERNACIN,", CONTRAT, CONTRAT," ALIMENTACIN Y HOSPEDAJE,"," LOS SERVICIOS DE ALIMENTACIN Y HOSPEDAJE,"
9,OBTUVO BENEFICIOS ECONMICOS," $123,024.07", COBR DICHA CANTIDAD., NO PREST SUS SERVICIOS EN SU CENTRO DE TRABAJO," NO OBSTANTE LO ANTERIOR, COBR DICHA CANTIDAD."
14,SOLICITABA, DINERO, EN LA DIRECCIN, DINERO," FIRMA DEL TARJETN DE NO ADEUDOS,"
9,SIN AUTORIZACION, UN DAO PATRIMONIAL,"SIN AUTORIZACION COBRO 47 CHEQUES DURANTE EL AO 2011,", CHEQUES,SIN AUTORIZACION
9, DELITO CONTRA LA SALUD," EVASIN DE PRESOS,"," ZAMORA MICHOACN,", BIENES JURDICOS, PRESUNTAMENTE CONSTITUTIVOS DE UN DELITO CONTRA LA SALUD
9, CONTRALORIA INTERNA, CONTRALORIA INTERNA, SECRETARIA DE OBRAS Y SERVICIOS., SECRETARIA DE OBRAS Y SERVICIOS., CONTRALORIA INTERNA
